DB_Object_ID	DB_Object_Symbol	DB_Object_Name	go_bin
FBgn0263198	Acn	Acinus	BP_function
FBgn0038704	Aptx	aprataxin	BP_function
FBgn0033062	Ars2	Arsenic resistance protein 2	BP_function
FBgn0004587	B52	B52	BP_function
FBgn0039558	BCAS2	BCAS2	BP_function
FBgn0263599	Brr2	Brr2 U5 snRNP complex subunit	BP_function
FBgn0032248	Bug22	Basal body up regulated gene 22	BP_function
FBgn0004856	Bx42	Bx42	BP_function
FBgn0035720	CG10077		BP_function
FBgn0032690	CG10333		BP_function
FBgn0034731	CG10384		BP_function
FBgn0036277	CG10418		BP_function
FBgn0037531	CG10445		BP_function
FBgn0032822	CG10466		BP_function
FBgn0036207	CG10907		BP_function
FBgn0039920	CG11360		BP_function
FBgn0031224	CG11454		BP_function
FBgn0035520	CG11586		BP_function
FBgn0034000	CG11808		BP_function
FBgn0031022	CG12204		BP_function
FBgn0033556	CG12343		BP_function
FBgn0039210	CG13625		BP_function
FBgn0031062	CG14230		BP_function
FBgn0029880	CG14443		BP_function
FBgn0037220	CG14641		BP_function
FBgn0034402	CG15084		BP_function
FBgn0030474	CG15747		BP_function
FBgn0030468	CG1622		BP_function
FBgn0028919	CG16865		BP_function
FBgn0037882	CG17187		BP_function
FBgn0033089	CG17266		BP_function
FBgn0029751	CG17764		BP_function
FBgn0032240	CG17768		BP_function
FBgn0039870	CG1896		BP_function
FBgn0037466	CG1965		BP_function
FBgn0035271	CG2021		BP_function
FBgn0024998	CG2685		BP_function
FBgn0037344	CG2926		BP_function
FBgn0037342	CG2931		BP_function
FBgn0050122	CG30122		BP_function
FBgn0051922	CG31922		BP_function
FBgn0029887	CG3198		BP_function
FBgn0031631	CG3225		BP_function
FBgn0031628	CG3294		BP_function
FBgn0036018	CG3335		BP_function
FBgn0085342	CG34313		BP_function
FBgn0263829	CG34334		BP_function
FBgn0085383	CG34354		BP_function
FBgn0031229	CG3436		BP_function
FBgn0034739	CG3927		BP_function
FBgn0034659	CG4021		BP_function
FBgn0028474	CG4119		BP_function
FBgn0261641	CG42724		BP_function
FBgn0031287	CG4291		BP_function
FBgn0039566	CG4849		BP_function
FBgn0031318	CG4887		BP_function
FBgn0031319	CG4896		BP_function
FBgn0028897	CG4935		BP_function
FBgn0038046	CG5641		BP_function
FBgn0030625	CG5877		BP_function
FBgn0043455	CG5986		BP_function
FBgn0038927	CG6015		BP_function
FBgn0030915	CG6179		BP_function
FBgn0033862	CG6209		BP_function
FBgn0035675	CG6610		BP_function
FBgn0032388	CG6686		BP_function
FBgn0030085	CG6999		BP_function
FBgn0037573	CG7483		BP_function
FBgn0036734	CG7564		BP_function
FBgn0033615	CG7741		BP_function
FBgn0034109	CG7747		BP_function
FBgn0035235	CG7879		BP_function
FBgn0038887	CG7907		BP_function
FBgn0035254	CG7974		BP_function
FBgn0034084	CG8435		BP_function
FBgn0036386	CG8833		BP_function
FBgn0030655	CG9213		BP_function
FBgn0034564	CG9344		BP_function
FBgn0037550	CG9667		BP_function
FBgn0031883	Caper	Caper	BP_function
FBgn0022943	Cbp20	cap binding protein 20	BP_function
FBgn0022942	Cbp80	cap binding protein 80	BP_function
FBgn0012058	Cdc27	Cell division cycle 27	BP_function
FBgn0013435	Cdc2rk	Cdc2-related kinase	BP_function
FBgn0265574	Cdc5	Cell division cycle 5	BP_function
FBgn0035872	Cpsf6	Cleavage and polyadenylation specific factor 6	BP_function
FBgn0031452	Cwc25	Cwc25	BP_function
FBgn0035141	Cypl	Cyclophilin-like	BP_function
FBgn0010220	Dbp45A	DEAD box protein 45A	BP_function
FBgn0033160	Dhx15	DEAH-box helicase 15	BP_function
FBgn0031601	Dim1	Dim1	BP_function
FBgn0265998	Doa	Darkener of apricot	BP_function
FBgn0023506	Es2	Es2	BP_function
FBgn0030974	Flacc	Fl(2)d-associated complex component	BP_function
FBgn0038454	Gpkow	G-patch domain and KOW motifs	BP_function
FBgn0032812	Hakai	Hakai	BP_function
FBgn0014189	Hel25E	Helicase at 25E	BP_function
FBgn0267791	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K	BP_function
FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	BP_function
