FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	cluster_id
FBgn0023167	SmD3	Small ribonucleoprotein particle protein SmD3	BP_function;CC_component	4
FBgn0023216	Parg	Poly(ADP-ribose) glycohydrolase	BP_function	3
FBgn0023441	fus	fusilli	BP_function	5
FBgn0023506	Es2	Es2	BP_function;CC_component	1
FBgn0024191	sip1	septin interacting protein 1	BP_function;CC_component	1
FBgn0024285	Srp54	Splicing regulatory protein 54	BP_function;CC_component	4
FBgn0024542	Neos	Neosin	BP_function;CC_component	1
FBgn0024887	kin17	kin17	BP_function;CC_component	1
FBgn0024987	ssx	sister-of-Sex-lethal	BP_function	5
FBgn0024998	CG2685		BP_function;CC_component	4
FBgn0025571	SF1	Splicing factor 1	BP_function;CC_component	4
FBgn0026713	Prp16	pre-mRNA processing factor 16	BP_function;CC_component	4
FBgn0027548	nito	spenito	BP_function;CC_component	4
FBgn0027587	Prp4k	Pre-mRNA processing factor 4 kinase	BP_function;CC_component	5
FBgn0027616	Ythdc1	YTH domain containing 1	BP_function	4
FBgn0027617	Ppil4	Peptidyl-prolyl cis/trans isomerase-like 4	BP_function;CC_component	4
FBgn0027784	Prp18	Prp18	BP_function;CC_component	4
FBgn0028382	cyp33	cyclophilin-33	BP_function;CC_component	4
FBgn0028474	CG4119		BP_function;CC_component	4
FBgn0028554	x16	x16 splicing factor	BP_function;CC_component	4
FBgn0028577	hfp	half pint	BP_function;CC_component	5
FBgn0028897	CG4935		BP_function;CC_component	1
FBgn0028919	CG16865		BP_function;CC_component	4
FBgn0029079	icln	icln	CC_component	4
FBgn0029094	asf1	anti-silencing factor 1	BP_function	3
FBgn0029133	REG	Proteasome regulator gamma	BP_function;CC_component	3
FBgn0029751	CG17764		BP_function;CC_component	1
FBgn0029880	CG14443		BP_function	1
FBgn0029887	CG3198		BP_function;CC_component	5
FBgn0029941	ZC3H18	Zinc finger CCCH-type containing 18	BP_function;CC_component	4
FBgn0029979	mahe	maheshvara	BP_function	5
FBgn0030085	CG6999		BP_function	1
FBgn0030365	Tango4	Transport and Golgi organization 4	BP_function;CC_component	4
FBgn0030468	CG1622		BP_function;CC_component	4
FBgn0030474	CG15747		BP_function;CC_component	4
FBgn0030479	Rbp1-like	Rbp1-like	BP_function;CC_component	5
FBgn0030625	CG5877		BP_function;CC_component	1
FBgn0030631	Prp5	pre-mRNA processing factor 5	BP_function;CC_component	4
FBgn0030655	CG9213		BP_function	4
FBgn0030915	CG6179		BP_function;CC_component	5
FBgn0030969	Usp39	Ubiquitin specific protease 39	BP_function;CC_component	4
FBgn0030974	Flacc	Fl(2)d-associated complex component	BP_function	4
FBgn0031022	CG12204		BP_function	4
FBgn0031062	CG14230		BP_function	3
FBgn0031114	cactin	cactin	BP_function;CC_component	4
FBgn0031224	CG11454		BP_function	4
FBgn0031229	CG3436		BP_function;CC_component	4
FBgn0031266	Sf3b1	Splicing factor 3b subunit 1	BP_function;CC_component	4
FBgn0031287	CG4291		BP_function;CC_component	4
